iso_code,continent,location,aged_65_older,aged_70_older,diabetes_prevalence,female_smokers,male_smokers,population
UKR,Europe,Ukraine,16.462,11.133,7.11,13.5,47.4,39701744
ARE,Asia,United Arab Emirates,1.144,0.526,17.26,1.2,37.4,9441138
GBR,Europe,United Kingdom,18.517,12.527,4.28,20.0,24.7,67508936
USA,North America,United States,15.413,9.732,10.79,19.1,24.6,338289856
VIR,North America,United States Virgin Islands,18.601,10.799,12.26,,,99479
OWID_UMC,,Upper middle income,,,,,,2525921300
URY,South America,Uruguay,14.655,10.361,6.93,14.0,19.9,3422796
UZB,Asia,Uzbekistan,4.469,2.873,7.57,1.3,24.7,34627648
VUT,Oceania,Vanuatu,4.394,2.62,12.02,2.8,34.5,326744
VAT,Europe,Vatican,,,,,,808
VEN,South America,Venezuela,6.614,3.915,6.47,,,28301700
VNM,Asia,Vietnam,7.15,4.718,6.0,1.0,45.9,98186856
OWID_WLS,Europe,Wales,,,,,,3170000
WLF,Oceania,Wallis and Futuna,,,,,,11596
ESH,Africa,Western Sahara,,1.38,,,,576005
OWID_WRL,,World,8.696,5.355,8.51,6.434,34.635,7975105024
YEM,Asia,Yemen,2.922,1.583,5.35,7.6,29.2,33696612
ZMB,Africa,Zambia,2.48,1.542,3.94,3.1,24.7,20017670
ZWE,Africa,Zimbabwe,2.822,1.882,1.82,1.6,30.7,16320539
